"	LoanAmount	CreationDate	fpd_15	data.Request.Input.CB2.MaxDPD	data.Request.Input.CB2.Labelling	data.Request.Input.CB2.CurrentDPD	data.Request.Input.CB2.Outstandingloan	data.Request.Input.CB1.MaxDPD	data.Request.Input.CB1.Labelling	data.Request.Input.CB1.CurrentDPD	data.Request.Input.CB1.Outstandingloan	data.Request.Input.Customer.EducationStatus	data.Request.Input.Customer.TotalExistingExposure	data.Request.Input.Customer.Income.Final	data.Request.Input.Customer.Gender	data.Request.Input.Customer.NumberOfChildren	data.Request.Input.Customer.AddressLGA	data.Request.Input.Customer.Employment.EmployerLGA	data.Request.Input.Customer.Employment.IndustrySector	data.Request.Input.Customer.Employment.BusinessSector	data.Request.Input.Customer.Employment.NumberOfEmployees	data.Request.Input.Customer.DateOfBirth	data.Request.Input.Customer.ResidentialStatus	data.Request.Input.Customer.MaritalStatus	data.Request.Input.Customer.ExistingCustomer	data.Request.Input.Customer.TimeAtAddressMM	data.Request.Input.SalaryService.MonthlyElectricitySpending4	data.Request.Input.SalaryService.MinimumBalance	data.Request.Input.SalaryService.MinimumCredit	data.Request.Input.SalaryService.AvgNumDebitMn	data.Request.Input.SalaryService.MonthlyCashFlow2	data.Request.Input.SalaryService.MonthlyCashFlow3	data.Request.Input.BVN.StateOfOrigin	data.Request.Input.PrevApplication.LoanAmount	data.Request.Input.PrevApplication.LoanTerm	data.Request.Input.PrevApplication.InterestRate	data.Request.Input.Application.RequestedLoanTerm	data.Request.Input.SalaryService.OpeningBalance",,,
"10	880000.0	2023-06-09	0	0.0	NTC	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Post Graduate	2164000.0	11054000.0	0		Kuje	Badagry	Libraries", archives," museums and others	Manufacturing		1994-10-11	Renting	Divorced	0								Nasarawa State				12.0	",
"11	230000.0	2023-04-20	0	0.0	Sub-Prime	0.0	0.0		Near-Prime			Post Graduate	266000.0	1744000.0	0		Epe	Ikeja	Textiles/apparels	Services		1983-10-11	Renting	Widowed	0								Plateau State				11.0	",,,
"12	2690000.0	2023-06-12	0		Near-Prime		0.0		Sub-Prime		0.0	Primary	5038000.0	21785000.0	1		Ibeju/Lekki	Bwari	Remediation activities	Agriculture	5.0	1986-04-08	With Friends	Married	0								Kaduna State				19.0	",,,
"13	5040000.0	2023-10-18	0	60.0	Near-Prime	0.0	4580000.0	0.0	Near-Prime	0.0	4310000.0	Secondary	5674000.0	103850000.0	1		Ifako-Ijaye	Ojo	Charity	Utilities		1989-08-03	With Relatives	Married	0		0.0	1100.0	1200.0	260.0	-10733000.0	6259000.0	Adamawa State				4.0	2099000.0",,,
"14	160000.0	2023-04-03	1		Sub-Prime				NTC			Post Graduate	447000.0	2803000.0	0		Eleme	Ibeju/Lekki	Water collection"," treatment and supply	Waste Management Activities	2.0	1987-03-01	Renting	Married	0								Taraba State				14.0	",,
"15	2550000.0	2023-03-24	1	0.0	Sub-Prime	0.0	1170000.0	0.0	Prime	0.0	0.0	Graduate	2946000.0	56928000.0	0		Ojo	Shomolu	Waste collection"," treatment and supply	Government	2.0	1987-05-16	With Relatives	Divorced	1								Borno State	2957000.0	29.0	11.0	11.0	",,
"16	350000.0	2023-04-24	1	0.0	NTC	0.0	790000.0	0.0	Near-Prime	0.0	530000.0	Graduate	1293000.0	10614000.0	0	0.0	Eti-Osa	Ikwerre	Warehousing and support activities	Government	2.0	1985-11-10	With Relatives	Married	1	201.0							Jigawa State	567000.0	15.0	14.0	11.0	",,,
"17	5360000.0	2023-07-24	0	5.0	Near-Prime	0.0	100000.0	0.0	Prime	0.0	0.0	Graduate	5658000.0	24168000.0	0		Port Harcourt	Ifako-Ijaye	Gambling and betting activities	Oil and Gas	0.0	1981-04-14	With Friends	Widowed	0								Kano State				13.0	",,,
"18	190000.0	2023-05-27	1	0.0	Sub-Prime	0.0	0.0		Sub-Prime		0.0	Graduate	4405000.0	27377000.0	0		Lagos Mainland	Ibadan Central	Creative arts and entertainment activities	Online		1998-10-03	Owner	Widowed	0								Kaduna State				10.0	",,,
"19	290000.0	2023-02-28	0	0.0	NTC	0.0	0.0	0.0	Prime	0.0		HND	330000.0	2532000.0	1		Agege	Asari-Toru	Transactions	Construction	0.0	1995-09-02	With Friends	Married	0		0.0	100.0	100.0	70.0	31000.0	-529000.0	Bayelsa State				12.0	",,,
"20	100000.0	2023-06-09	1		Prime		0.0	0.0	Sub-Prime	0.0	0.0	Graduate	115000.0	585000.0	0		Ijebu North	Abuja Municipal	Furniture	Agriculture		1994-01-06	With Relatives	Divorced	0								LAGOS State				18.0	",,,
"21	1500000.0	2023-08-11	0	0.0	Near-Prime	0.0	9410000.0	3.0	Prime	3.0	21320000.0	Post Graduate	1481000.0	3748000.0	0		Ijebu Ode	Port Harcourt	Advertising and market research	Administrative and support service activities	2.0	1974-10-04	With Relatives	Single	0	35.0	9657600.0	-354900.0	100.0	110.0	6532000.0	-1757000.0	Kogi State				18.0	147000.0",,,
"22	170000.0	2023-01-07	1	132.0	NTC	132.0	10000.0	30.0	Prime	30.0	0.0	Graduate	256000.0	2181000.0	0		Abaji	Mushin	Telecommunications	Wholesale and retail trade		1998-06-26	Renting	Married	0								Edo State				13.0	",,,
"23	2860000.0	2023-04-12	0	0.0	NTC	0.0	0.0		Sub-Prime			Primary	3570000.0	89637000.0	0		Ifako-Ijaye	Amuwo-Odofin	Air transport	Real estate activities		1980-09-19	With Relatives	Married	0								Edo State				10.0	",,,
"24	1420000.0	2023-09-21	1		Sub-Prime		0.0		Prime		0.0	Graduate	1113000.0	3891000.0	0		Ojo	Mushin	Telecommunications	Oil and Gas		1986-05-04	With Friends	Married	0		0.0	0.0	100.0	80.0	-5000.0	4000.0	Ebonyi State				4.0	148000.0",,,
"25	190000.0	2023-05-18	1	0.0	NTC	0.0	0.0		Sub-Prime		0.0	Post Graduate	576000.0	3926000.0	1	0.0	Lagos Mainland	Port Harcourt	Transport-related services	Finance	3.0	1991-12-21	Owner	Married	1	60.0							LAGOS State	60000.0	12.0	23.0	11.0	",,,
"26	940000.0	2023-07-22	0	0.0	Prime	0.0	0.0		Sub-Prime		0.0	Post Graduate	2128000.0	16197000.0	0		Kuje	Amuwo-Odofin	Power generation/power plants	Administrative and support service activities	0.0	1993-07-25	Owner	Divorced	0								Kebbi State				10.0	",,,
"27	410000.0	2023-09-30	1	0.0	Near-Prime	0.0	80000.0	1.0	Sub-Prime	1.0	130000.0	HND	514000.0	2562000.0	0		Lagos Mainland	Port-Harcourt	Multilateral Development Agencies (MDA)	Wholesale and retail trade	3.0	1982-04-03	With Friends	Divorced	0	67.0		0.0	0.0	190.0			Plateau State				16.0	511000.0",,,
"28	5160000.0	2023-11-14	0	911.0	Sub-Prime	911.0	1530000.0	0.0	Near-Prime	0.0	810000.0	Post Graduate	4323000.0	46419000.0	1		Port Harcourt	Oshodi-Isolo	Power generation/power plants	Online		1980-06-15	With Relatives	Married	0		3180400.0	-72600.0	0.0	70.0	-164000.0	150000.0	Katsina State				14.0	335000.0",,,
"29	1840000.0	2023-04-01	0	0.0	NTC	0.0		0.0	Near-Prime	0.0		Post Graduate	1957000.0	23613000.0	0		Lagos Mainland	Port-Harcourt	Building materials	Administrative and support service activities	0.0	1984-02-05	Owner	Divorced	0			4600.0	100.0	220.0			Yobe State				12.0	",,,
"30	190000.0	2023-05-03	1		NTC				Near-Prime			Primary	906000.0	8150000.0	0		Mushin	Oshodi-Isolo	Advertising and market research	Services		1989-09-12	With Friends	Married	0								Niger State				12.0	",,,
"31	4490000.0	2023-08-21	0	0.0	Sub-Prime	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Post Graduate	4906000.0	299482000.0	0		Port Harcourt	Gwagwalada	Power transmission	Services		1983-03-31	With Relatives	Divorced	0		61592500.0	-1816000.0	0.0	100.0	2222000.0	28000.0	Niger State				17.0	1936000.0",,,
"32	2000000.0	2023-10-29	0		Prime				Prime			Graduate	2356000.0	11158000.0	0		Abeokuta North	Obafemi-Owode	Parliamentary/politics	Utilities		1989-09-26	Owner	Divorced	0								Osun State				3.0	",,,
"33	200000.0	2023-05-28	1	35.0	Sub-Prime	0.0	110000.0		Sub-Prime		0.0	Post Graduate	203000.0	1851000.0	0		Gwagwalada	Owo	Others	Finance		1980-01-12	Owner	Divorced	0	106.0							Ebonyi State				11.0	",,,
"34	2830000.0	2023-05-20	0	0.0	Sub-Prime	0.0	0.0	0.0	NTC	0.0	0.0	Secondary	3458000.0	99205000.0	0		Port Harcourt	Obafemi-Owode	Textiles and Wearing Apparel	General		1988-11-10	With Relatives	Widowed	0								ABIA State				10.0	",,,
"35	690000.0	2023-11-13	0		NTC		0.0	0.0	Sub-Prime	0.0	0.0	HND	704000.0	3625000.0	0		Shomolu	Asari-Toru	Libraries", archives," museums and others	Arts"," entertainment and recreation	0.0	1996-07-14	Owner	Widowed	1	304.0	4803600.0	-236600.0	0.0	100.0	-74000.0	95000.0	Abia State	116000.0	17.0	15.0	16.0	1000.0"
"36	160000.0	2023-09-06	0		Near-Prime		0.0	0.0	Near-Prime	0.0	0.0	Graduate	303000.0	438000.0	1		Ojo	Ibadan Central	Lending	Oil and Gas	1.0	1982-03-10	Owner	Married	0	123.0	0.0	100.0	0.0	120.0	-8000.0	61000.0	Bayelsa State				10.0	5000.0",,,
"37	160000.0	2023-06-06	1		Sub-Prime		0.0	0.0	Near-Prime	0.0	0.0	Post Graduate	249000.0	1075000.0	0		Kuje	Ijebu Ode	Educational support services	Administrative and support service activities	0.0	1991-05-04	With Relatives	Married	0								Kaduna State				14.0	",,,
"38	1160000.0	2023-05-10	0	0.0	Sub-Prime	0.0	0.0	0.0	Near-Prime	0.0	0.0	Primary	1181000.0	6329000.0	1	4.0	Ojo	Akure North	Home Developers	Oil and Gas	1.0	1974-04-14	With Friends	Divorced	0	66.0		-249700.0	0.0	110.0			Kaduna State				17.0	82000.0",,,
"39	170000.0	2023-05-29	1	0.0	Near-Prime	0.0	0.0	0.0	Prime	0.0	0.0	Graduate	3404000.0	223319000.0	0	2.0	Ijebu Ode	Ojo	Social work activities	Utilities	2.0	1970-05-18	Renting	Married	1	223.0							Plateau State	2439000.0	39.0	11.0	11.0	",,,
"40	1990000.0	2023-04-11	0		NTC				Prime			Post Graduate	2554000.0	16720000.0	0		Ikeja	Abeokuta North	Power generation/power plants	Online	0.0	1992-09-09	With Relatives	Widowed	1	11.0	16500.0	1000.0	0.0	190.0	-369000.0	870000.0	Kogi State	108000.0	3.0	18.0	12.0	",,,
"41	2950000.0	2023-07-05	1	0.0	NTC	0.0	0.0		Prime		0.0	Graduate	3352000.0	20109000.0	0		Kosofe	Port-Harcourt	Machinery and equipment	Services	1.0	1990-08-11	With Friends	Single	1			100.0	0.0	280.0			Akwa Ibom State	3058000.0	15.0	12.0	13.0	2000.0",,,
"42	200000.0	2023-02-23	1	0.0	Near-Prime	0.0		0.0	NTC	0.0	0.0	Graduate	300000.0	1007000.0	1		Ifako-Ijaye	Amuwo-Odofin	Food products	Administrative and support service activities		1978-08-25	With Relatives	Married	0								Nasarawa State				27.0	",,,
"43	1080000.0	2023-03-01	0	239.0	NTC	239.0	0.0	0.0	NTC	0.0	0.0	Post Graduate	982000.0	3690000.0	1	0.0	Abeokuta South	Ifako-Ijaye	Remediation activities	Natural Resources	3.0	1992-10-20	With Relatives	Single	1	99.0	0.0	100.0	100.0	230.0	-1465000.0	1395000.0	ABIA State	1011000.0	14.0	11.0	22.0	",,,
"44	180000.0	2023-05-22	0	0.0	Near-Prime	0.0	0.0	0.0	Prime	0.0	0.0	Graduate	320000.0	2494000.0	0	2.0	Mushin	Egbeda	Soft drinks/beverages	Utilities	1.0		With Relatives	Divorced	1	80.0							Bayelsa State	289000.0	61.0	12.0	10.0	",,,
"45	3570000.0	2023-05-11	0	0.0	Sub-Prime	0.0	0.0	0.0	Sub-Prime	0.0	0.0	HND	3491000.0	108170000.0	0	0.0	Shomolu	Obafemi-Owode	Courier/freight/delivery	Finance	7.0	1989-01-16	Renting	Single	1	96.0							Benue State	5762000.0	6.0	8.0	14.0	",,,
"46	220000.0	2023-05-03	0	0.0	Sub-Prime	0.0	0.0	0.0	NTC	0.0	0.0	Graduate	281000.0	2458000.0	0		Port Harcourt	Owo	Wholesale trade	Administrative and support service activities		1977-12-23	Renting	Married	0		0.0	100.0	100.0	120.0	-104000.0	-656000.0	Akwa Ibom State				18.0	93000.0",,,
"47	1400000.0	2023-06-06	0		NTC		0.0	0.0	Sub-Prime	0.0	0.0	HND	1455000.0	5785000.0	0		Ijebu North	Port Harcourt	Religious bodies	Real estate activities	3.0	1981-03-30	With Friends	Single	0								Imo State				15.0	",,,
"48	100000.0	2023-05-23	1	0.0	NTC	0.0	0.0	0.0	Prime	0.0	0.0	HND	91000.0	580000.0	1		Ijebu North	Ajeromi-Ifelodun	Gambling and betting activities	Utilities	2.0	1996-06-03	With Relatives	Divorced	0								Cross River State				17.0	",,,
"49	100000.0	2023-06-02	1	0.0	Sub-Prime	0.0	0.0		Sub-Prime		0.0	Post Graduate	113000.0	729000.0	0		Ifo	Akure North	Confectionaries	Arts"," entertainment and recreation		1989-02-21	Owner	Married	0								Gombe State				17.0	",,
"50	240000.0	2023-05-19	1	0.0	NTC	0.0	0.0		Sub-Prime		0.0	Graduate	288000.0	1228000.0	0		Bwari	Epe	Apparel Retail	Administrative and support service activities		1990-08-24	With Friends	Single	0								kaduna State				14.0	",,,
"51	190000.0	2023-07-01	1		Near-Prime		0.0	0.0	NTC	0.0	0.0	Graduate	251000.0	1767000.0	0		Ifo	Ajeromi-Ifelodun	Other Manufacturing	Industrial Goods	1.0	1978-06-18	Renting	Divorced	0								Kebbi State				11.0	",,,
"52	180000.0	2023-06-01	0		Prime				Near-Prime			Primary	682000.0	3743000.0	0	0.0	Bwari	Ibeju/Lekki	Restaurant	Consumer Goods	11.0	1989-03-27	Renting	Single	1	94.0	0.0	400.0	4700.0	30.0	-2000.0	2000.0	DELTA State	2343000.0	39.0	7.0	11.0	11000.0",,,
"53	110000.0	2023-06-20	1		NTC		0.0	180.0	Prime	0.0	40000.0	Graduate	115000.0	922000.0	0		Amuwo-Odofin	Obia/Akpor	Parliamentary/politics	General		1985-03-23	With Relatives	Widowed	0								Jigawa State				18.0	",,,
"54	210000.0	2023-05-07	1	0.0	Near-Prime	0.0	20000.0		Sub-Prime		0.0	Graduate	292000.0	1548000.0	0		Ikeja	Ikenne	Transport-related services	Online		1995-06-20	With Relatives	Married	0								Ondo State				14.0	",,,
"55	190000.0	2023-03-19	1	0.0	Prime	0.0		0.0	Prime	0.0		Graduate	325000.0	2215000.0	1		Alimosho	Kosofe	Telecommunications	General		1983-06-03	Owner	Single	0								Edo State				10.0	",,,
"56	1100000.0	2023-02-17	0	0.0	Sub-Prime	0.0		0.0	Prime	0.0	0.0	Post Graduate	3343000.0	9818000.0	1		Bwari	Ikwerre	Programming and broadcasting activities	Utilities	2.0	1970-06-06	Renting	Married	1								Adamawa State	552000.0	14.0	8.0	23.0	",,,
"57	180000.0	2023-04-13	0	0.0	NTC	0.0			Near-Prime			Graduate	276000.0	2136000.0	0		Shagamu	Abuja Municipal	Rental and leasing activities	Construction	0.0	1993-09-17	With Friends	Widowed	0	0.0							Osun State				10.0	",,,
"58	130000.0	2023-03-26	1	0.0	Near-Prime	919.0	0.0	0.0	NTC	0.0	0.0	Graduate	148000.0	728000.0	0		Ifako-Ijaye	Kosofe	Gasoline stations	Agriculture		1985-10-20	With Friends	Married	1								Abia State	115000.0	3.0	24.0	3.0	",,,
"59	1940000.0	2023-06-06	0	0.0	Sub-Prime	0.0	90000.0		Near-Prime		0.0	Secondary	1980000.0	10719000.0	0		Surulere	Ibadan Central	Plantation	Information and communication	1.0	1993-03-06	Owner	Single	0	70.0							Akwa Ibom State				16.0	",,,
"60	220000.0	2023-05-27	1		Sub-Prime		0.0	0.0	Sub-Prime	0.0	0.0	Post Graduate	533000.0	3127000.0	0		Port Harcourt	Abuja Municipal	Telecommunications	Human health and social work activities		1994-03-21	With Relatives	Single	0								Plateau State				14.0	",,,
"61	3020000.0	2023-09-24	0	0.0	Sub-Prime	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Graduate	5031000.0	25685000.0	0	1.0	Ifo	Mushin	Plantation	Consumer Goods		1979-12-01	With Friends	Married	1	117.0							Taraba State	2605000.0	21.0	9.0	16.0	",,,
"62	160000.0	2023-06-19	1	0.0	Sub-Prime	0.0	0.0		Prime		0.0	HND	279000.0	2132000.0	0		Ijebu Ode	Ifako-Ijaye	Coal"," Lignite and Metal Ores	Utilities		1989-10-23	Owner	Divorced	0								Cross River State				14.0	",,
"63	2520000.0	2023-01-25	0	0.0	NTC	0.0	150000.0	0.0	NTC	0.0	0.0	Secondary	2497000.0	27694000.0	0		Abuja Municipal	Port Harcourt	Rubber and plastics products	Real estate activities		1985-06-28	Owner	Married	0								Katsina State				37.0	",,,
"64	190000.0	2023-05-13	1	0.0	Sub-Prime	0.0	150000.0	0.0	Sub-Prime	0.0	130000.0	Secondary	264000.0	1851000.0	1		Abuja Municipal	Ijebu Ode	Other waste management services	Real estate activities		1967-10-28	With Relatives	Single	0								Anambra State				15.0	",,,
"65	170000.0	2023-04-02	1	0.0	NTC	0.0	0.0		Sub-Prime			Graduate	3372000.0	23611000.0	0		Agege	Ibeju/Lekki	Water transport	Government	2.0	1986-05-02	Renting	Married	1	6.0							Enugu State	174000.0	41.0	14.0	13.0	",,,
"66	120000.0	2023-05-19	1		Near-Prime				Sub-Prime			Post Graduate	104000.0	774000.0	0		Port Harcourt	Shagamu	Oil - downstream	Natural Resources	2.0	1995-07-14	Renting	Married	0	242.0							Plateau State				10.0	",,,
"67	2810000.0	2023-03-03	0	0.0	NTC	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Graduate	2924000.0	25793000.0	0		Amuwo-Odofin	Obafemi-Owode	Libraries", archives," museums and others	Non-Governmental Organization	5.0	1994-04-07	With Relatives	Married	0								Plateau State				31.0	",
"68	5280000.0	2023-09-02	1	0.0	NTC	0.0	110000.0	0.0	Prime	0.0	110000.0	Graduate	5796000.0	53097000.0	0		Kosofe	Kuje	Computer programming"," consultancy and related activities	Oil and Gas		1975-02-16	Owner	Married	0								kaduna State				19.0	",,
"69	2460000.0	2023-06-07	0	0.0	NTC	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Post Graduate	3480000.0	71830000.0	0		Agege	Gwagwalada	Restaurant	Industrial Goods		1978-02-07	With Friends	Married	0								kaduna State				17.0	",,,
"70	100000.0	2023-03-10	0	366.0	NTC	366.0	20000.0	0.0	Sub-Prime	0.0	10000.0	Secondary	1662000.0	11641000.0	0	0.0	Shagamu	Port-Harcourt	Transport-related services	Finance	2.0	1984-08-19	Owner	Widowed	1	209.0							ABIA State	1638000.0	11.0	10.0	11.0	",,,
"71	230000.0	2023-03-29	0		Prime				Sub-Prime			Secondary	1088000.0	8697000.0	0	1.0	Ijebu Ode	Ibadan Central	Remediation activities	Utilities	1.0	1985-01-05	With Friends	Married	1	80.0							Taraba State	81000.0	3.0	17.0	14.0	",,,
"72	160000.0	2023-06-11	1	0.0	Sub-Prime	0.0	0.0	0.0	NTC	0.0	40000.0	Post Graduate	142000.0	932000.0	0		Badagry	Ibadan Central	Lending	Real estate activities		1984-12-18	Owner	Widowed	0								Bauchi State				15.0	",,,
"73	2690000.0	2023-10-07	0		Near-Prime		0.0		NTC		0.0	Post Graduate	2409000.0	21373000.0	0		Kuje	Ikenne	Telecommunications	Construction		1983-06-23	Renting	Widowed	0								Nasarawa State				10.0	",,,
"74	3800000.0	2023-06-25	0		NTC		0.0		Sub-Prime		0.0	Graduate	5531000.0	120456000.0	0		Shagamu	Alimosho	Creative arts and entertainment activities	Professional"," scientific and technical activities		1980-03-30	With Friends	Married	0								Akwa Ibom State				14.0	",,
"75	220000.0	2023-05-22	1	0.0	NTC	0.0	0.0	0.0	Prime	0.0	0.0	Graduate	190000.0	1231000.0	0		Shomolu	Mushin	Leather and related products	Utilities		1998-05-14	With Relatives	Widowed	0			100.0	1600.0	20.0			Gombe State				14.0	1000.0",,,
"76	1000000.0	2023-04-28	0	0.0	Prime	0.0	0.0	0.0	Prime	0.0	0.0	Graduate	887000.0	4824000.0	0		Ifo	Epe	Parliamentary/politics	Arts"," entertainment and recreation	0.0	1993-11-01	With Relatives	Widowed	0		0.0	0.0	100.0	270.0	-228000.0	472000.0	Bayelsa State				17.0	345000.0",,
"77	960000.0	2023-05-23	0	0.0	Near-Prime	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Post Graduate	3159000.0	54091000.0	0		Ojo	Ikorodu	Water collection"," treatment and supply	Finance		1983-04-13	Owner	Married	0								Ondo State				13.0	",,
"78	350000.0	2023-03-01	0	0.0	NTC	0.0		0.0	NTC	0.0	0.0	Post Graduate	314000.0	2322000.0	1		Ijebu North	Mushin	Coal"," Lignite and Metal Ores	Power and Energy		1977-04-06	With Friends	Divorced	0								Abia State				13.0	",,
"79	1770000.0	2023-11-08	0	0.0	Prime	0.0	2890000.0	0.0	Near-Prime	0.0	2660000.0	Post Graduate	2099000.0	20343000.0	0		Ijebu Ode	Port Harcourt	Poultry and livestock	Finance		1985-09-16	With Relatives	Married	1	95.0							Bayelsa State	506000.0	15.0	15.0	10.0	",,,
"80	230000.0	2023-05-14	1	0.0	Sub-Prime	0.0	0.0	0.0	Near-Prime	0.0	0.0	Post Graduate	409000.0	2387000.0	1		Surulere	Shagamu	Other education	Professional"," scientific and technical activities		1973-10-13	With Relatives	Married	0								Jigawa State				11.0	",,
"81	110000.0	2023-07-09	1	0.0	Sub-Prime	0.0	10000.0	147.0	Sub-Prime	147.0	40000.0	Secondary	89000.0	535000.0	0		Ifo	Kosofe	Crop Production	Mining and Quarrying	4.0	1989-06-09	Owner	Widowed	0	68.0							Jigawa State				17.0	",,,
"82	820000.0	2023-05-10	0		NTC				Sub-Prime			Graduate	3038000.0	183140000.0	0		Mushin	Oshodi-Isolo	Tobacco products	Industrial Goods	2.0	1979-06-15	With Friends	Married	0	176.0							Gombe State				14.0	",,,
"83	4820000.0	2023-06-14	0	0.0	Near-Prime	0.0	0.0		NTC		0.0	Graduate	5912000.0	58185000.0	0		Abeokuta South	Surulere	Information service activities	Finance		1981-02-04	With Friends	Divorced	0								Kebbi State				19.0	",,,
"84	980000.0	2023-06-07	1	0.0	NTC	0.0	0.0	0.0	Sub-Prime	0.0	0.0	Post Graduate	1421000.0	6487000.0	0		Port Harcourt	Ibeju/Lekki	Transport related	Online		1991-08-17	With Friends	Married	0	459.0							Jigawa State				16.0	",,,
"85	210000.0	2023-06-06	1	180.0	Sub-Prime	0.0	410000.0	612.0	Sub-Prime	612.0	470000.0	Graduate	1416000.0	11207000.0	0	0.0	Badagry	Port-Harcourt	Multilateral Development Agencies (MDA)	Agriculture		1984-03-30	With Relatives	Widowed	1	84.0							kaduna State	103000.0	2.0	22.0	11.0	",,,
"86	980000.0	2023-09-09	0	0.0	NTC	0.0	0.0	469.0	Prime	469.0	30000.0	HND	1000000.0	4806000.0	1	0.0	Ikeja	Kwali	Wholesale trade	Transportation and storage	5.0		With Friends	Divorced	1	4.0	0.0	100.0	100.0	180.0	140000.0	114000.0	Taraba State	100000.0	23.0	15.0	17.0	225000.0",,,
